Fid,Drug_Name1,Reason1,Drug_Name2,Reason2,Rating,Reviews,Drugfollowers,Label
10.42.0.211-10.42.0.1-37105-53-17,D Acne Soap 75gmD Acne Gel 10gm,Acne,Sampill 2.5mg Tablet 10'S,Angina,7,48,2291,1
10.42.0.211-123.125.115.164-54997-443-6,D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne,Solosprin 30/150mg Tablet 10'SSolosprin 30/75mg Tablet 10'S,Angina,6,100,29,0
169.55.67.247-10.42.0.211-5222-60190-6,D Acne Plus Gel 15gm,Acne,Solotrate SR 30mg Tablet 10'SSolotrate 20mg Tablet 10'S,Angina,9,31,1368,1
172.217.12.174-10.42.0.151-443-43282-6,Dalcihit 300Mg Capsule 10's,Acne,Solotrate CR 60mg Tablet 10'SSolotrate CR 30mg Tablet 10'S,Angina,7,29,23,0
172.217.12.202-10.42.0.211-443-56089-6,Decdan Lite Cream 20gm,Acne,Solotrate SR 60mg Tablet 10'S,Angina,1,190,242,1
10.42.0.211-66.198.24.240-45630-80-6,Decroma 6% Cream 30gm,Acne,Sorbidine 10mg Tablet 10'S,Angina,10,3,29,0
10.42.0.211-54.230.49.181-35206-443-6,Depiglare Cream 15gm,Acne,Sorbitrate 10mg Tablet 50'SSorbitrate 5mg Tablet 50'S,Angina,7,11,688,1
10.42.0.151-104.254.66.16-40388-80-6,Deriva Aqueous Gel 15gm,Acne,Sorbitrate HF 20/37.5mg Tablet 10'S,Angina,8,10,29,1
10.42.0.151-10.42.0.1-1428-53-17,Deriva Bpo Gel 15gm,Acne,SORBITRATE INSTA 0.5mg Tablet 30's,Angina,5,16,45,0
172.217.12.142-10.42.0.211-443-33996-6,Deriva Cms Gel 15gm,Acne,Sosodil 10Mg Tablet 10's,Angina,10,10,519,1
172.217.8.3-10.42.0.211-443-60068-6,Deriva MS Gel 15gm,Acne,Spiremide Tablet 10'S,Angina,10,0,29,0
10.42.0.151-10.42.0.1-59910-53-17,Derlin Gel 10gm,Acne,Stamlo 2.5mg Tablet 30'S,Angina,8,0,517,0
10.42.0.211-111.206.25.159-38860-80-6,DERMADEW B Bar 75gm,Acne,STANOL 25mg Tablet 14's,Angina,8,61,55,1
10.42.0.211-10.42.0.1-19085-53-17,Dersol BH Ointment 30gm,Acne,Starpress MN XL 30mg Capsule 10'S,Angina,10,36,23,1
10.42.0.211-40.79.74.185-49435-443-6,Doxt SL 100mg/5B Tablet 8'S,Acne,Synotrate 20mg Tablet 10'S,Angina,9,8,2918,0
203.205.158.63-10.42.0.211-80-50845-6,DS ACNE Face Wash 100gm,Acne,Synx 500mg Tablet 10'S,Angina,9,24,517,1
10.42.0.211-10.42.0.1-5351-36229-17,EGA Night Cream 30gm,Acne,Teralfa 2mg Tablet 10'S,Angina,1,54,1368,0
169.45.248.170-10.42.0.211-443-49132-6,Elosone HT Cream 15gm,Acne,Tide Plus 50/10mg Tablet 10'S,Angina,1,28,31,1
10.42.0.211-23.23.129.231-36010-443-6,Emolene Cream 100gm,Acne,Tidilan Injection 2ml,Angina,10,0,29,0
172.217.12.174-10.42.0.211-443-54725-6,ENCLINA Gel(Topical) 20gm,Acne,Tofanta 15mg Tablet 4'STofanta 30mg Tablet 4'S,Angina,9,98,29,1
10.42.0.211-10.42.0.1-14460-53-17,ENCLINA ADP Gel(Topical) 20gm,Acne,Tolvamac 15mg Tablet 4'S,Angina,2,70,416,0
10.42.0.151-121.12.98.63-42089-80-6,Enshine Ointment 15gm,Acne,TOP Nitro 5mg Patch 1'STOP Nitro 10mg Patch 1'S,Angina,9,4,487,0
202.77.129.150-10.42.0.42-443-35482-6,Entice Acne Bar 75gm,Acne,Triadin 20mg Tablet 10'S,Angina,8,18,29,0
10.42.0.211-10.42.0.1-8961-53-17,Entice Natura Soap 75gm,Acne,Triazem 30mg Tablet 40'S,Angina,10,17,36,0
10.42.0.42-65.52.108.74-53053-443-6,Epiduo Gel 30gmEpiduo Gel 15gm,Acne,Trimacontin 60mg Tablet 10'STrimacontin 35mg Tablet 10'S,Angina,10,8,732,0
172.217.7.195-10.42.0.151-443-47860-6,Erytop Lotion 25mlErytop Gel 20gm,Acne,Trimezen MR 35mg Tablet 10'S,Angina,7,1,29,1
10.42.0.151-13.88.145.72-46666-443-6,Erytop A Gel 15gm,Acne,Trived 20mg Tablet 10'S,Angina,10,26,54,1
10.42.0.211-10.42.0.1-58145-53-17,Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,Trived SR 60mg Tablet 10'STrived SR 35mg Tablet 10'S,Angina,1,5,3629,0
219.142.78.162-10.42.0.211-80-57065-6,Eudyna 0.05% Cream 20gm,Acne,Trivedon MR Tablet 10'STrivedon 20mg Tablet 10'S,Angina,8,9,29,0
10.42.0.1-10.42.0.42-53-35601-17,Eunozit 10mg Capsule 10'S,Acne,Trizid 20mg Tablet 10'S,Angina,9,4,29,0
10.42.0.211-10.42.0.1-13242-53-17,Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne,Trizid SR Tablet 10'S,Angina,9,17,369,1
10.42.0.211-23.194.140.226-48026-80-6,Exazel N Cream 15gm,Acne,Ubinext LC Tablet 10'S,Angina,7,66,29,1
10.42.0.211-23.194.141.179-48936-443-6,Excela Cream 50gm,Acne,Urix 10mg Injection 2ml,Angina,1,5,455,1
169.45.238.55-10.42.0.151-443-57301-6,EXCEX Gel 15gm,Acne,Vascium 18mg Injection 1'S,Angina,3,0,29,1
10.42.0.1-10.42.0.42-53-12864-17,Exel Cream 16Gm,Acne,VASMED Injection 1's,Angina,8,58,29,1
10.42.0.151-10.42.0.1-64257-53-17,Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm,Acne,Vasodil 20mg Tablet 10'SVasodil 10mg Tablet 10'S,Angina,7,6,35,0
10.42.0.42-106.11.92.14-37060-443-6,Fabeau Soap 1'S,Acne,Vasodil SR 30mg Tablet 10'SVasodil SR 25mg Tablet 10'SVasodil SR 60mg Tablet 10'S,Angina,8,3,29,1
150.138.170.22-10.42.0.211-443-36374-6,Facebenz A Gel 15gm,Acne,Vasoprin LS Tablet 10'S,Angina,1,25,2299,0
10.42.0.211-10.42.0.1-19676-53-17,Faceclin Gel 20gm,Acne,Vasotrate 20mg Tablet 10'SVasotrate 10mg Tablet 10'SVasotrate OD 60mg Tablet 7'S,Angina,10,2,187,0
10.42.0.151-103.7.30.118-55896-80-6,Faceclin A Gel 15gm,Acne,Vasotrate OD 30mg Tablet 7'S,Angina,10,10,2929,0
203.205.147.229-10.42.0.42-80-51272-6,Faceclin AT Gel 15gm,Acne,Vasovin XL 2.5mg Capsule 25'S,Angina,1,18,31,1
158.85.58.119-10.42.0.211-5222-35131-6,Femcinol A Gel 20gm,Acne,Vasovin XL 6.5mg Capsule 25'S,Angina,9,68,29,0
10.42.0.211-64.71.142.125-55171-443-6,Femcinol Adp Gel 15gm,Acne,Vimendan 12.5mg Injection 1'S,Angina,9,23,37,1
205.185.216.10-10.42.0.211-80-33003-6,Femolink Cream 20gm,Acne,VPL 2.5mg Injection 2mlVPL 5mg Injection 2ml,Angina,9,71,29,0
172.217.10.234-10.42.0.151-443-36017-6,Flexon Cream 15gm,Acne,Zator 5mg Tablet 10'S,Angina,1,14,1368,1
175.100.207.206-10.42.0.211-80-35486-6,Foracne Plus Gel 15gm,Acne,Zynicor 5mg Tablet 30'SZynicor 10mg Tablet 30'S,Angina,8,9,36,0
10.42.0.211-77.234.42.92-52065-443-6,Ga 12 Cream 30gm,Acne,Aalp 0.50mg Tablet 10'SAalp 0.25mg Tablet 10'S,Anxiety,9,1,517,1
172.217.10.35-10.42.0.42-443-46980-6,Ga 6 Cream 30gm,Acne,Adzolam 0.25mg Tablet 10'S,Anxiety,9,2,31,1
10.42.0.1-10.42.0.42-53-5528-17,Glintra Gel 15gmGlintra A Gel 15gmGlintra Soap 75gmGlintra Gel 30gm,Acne,Aedon 10mg Tablet 14'SAedon 5mg Tablet 14'S,Anxiety,7,62,29,0
10.42.0.1-10.42.0.42-53-1473-17,Glocin Gel Gel(Topical) 20gmGLOCIN Gel 30gm,Acne,Alam 0.50mg Tablet 10'SAlam 0.25mg Tablet 10'S,Anxiety,7,13,29,1
172.217.12.170-10.42.0.211-443-47135-6,Glotret 30mg Tablet 10'SGlotret 20mg Tablet 10'SGlotret 10mg Tablet 10'SGlotret 5mg Tablet 10'S,Acne,Alark 0.25mg Tablet 10'SAlark 0.5mg Tablet 10'S,Anxiety,1,5,517,0
5.61.39.3-10.42.0.42-80-57208-6,Glow Lite Cream 20gm,Acne,Alarm 0.50mg Tablet 10'S,Anxiety,10,45,29,0
172.217.10.138-10.42.0.151-443-43064-6,Glowcare Forte Cream 10gm,Acne,Albium 10mg Tablet 10'S,Anxiety,10,69,29,1
10.42.0.211-10.42.0.1-25458-53-17,Glowcor Cream 20gm,Acne,Alcalm 0.25mg Tablet 10'SAlcalm 0.5mg Tablet 10'S,Anxiety,10,2,725,1
10.42.0.1-10.42.0.42-53-27634-17,Glyaha Lotion 50gm,Acne,Aleez 0.25mg Tablet 10'S,Anxiety,9,66,29,0
172.217.10.234-10.42.0.151-443-51058-6,Glyaha Koj Lotion 30gm,Acne,Aleez SR 0.5mg Tablet 10'S,Anxiety,10,25,29,1
172.217.3.110-10.42.0.151-443-39780-6,Glylak 70% Solution 100ml,Acne,Alep 0.5mg Tablet 10'SAlep 0.25mg Tablet 10'S,Anxiety,1,0,476,0
182.254.5.234-10.42.0.151-80-48899-6,Hexilak Ultra C Gel 20gm,Acne,Alltop P Tablet 10'SAlltop 0.25mg Tablet 10'S,Anxiety,10,0,29,1
172.217.10.78-10.42.0.151-443-59373-6,Hostacycline 500mg Capsule 4'S,Acne,Almax 0.5mg Tablet 10'SAlmax 0.25mg Tablet 10'S,Anxiety,5,8,29,0
10.42.0.151-10.42.0.1-30293-53-17,HQ Lite Cream 15gm,Acne,Almazine 2mg Tablet 10'S,Anxiety,9,15,29,1
183.36.108.199-10.42.0.211-80-45243-6,HTM Cream 15gm,Acne,Almizolam Injection 5mlAlmizolam Injection 1mlAlmizolam Injection 10ml,Anxiety,9,6,55,0
216.58.219.202-10.42.0.151-443-48605-6,Ibitret 10mg Softgel 10'SIbitret 20mg Softgel 10'S,Acne,ALP 0.5mg Tablet 10'SALP FT Tablet 10'SALP 0.25mg Tablet 10'SALP Ftd Tablet 10'S,Anxiety,10,9,29,0
10.42.0.42-52.84.1.143-33727-443-6,Iret 20mg Capsule 10'S,Acne,Alpam 0.50mg Tablet 10'SAlpam 0.25mg Tablet 10'S,Anxiety,2,22,721,0
172.217.12.202-10.42.0.42-443-37751-6,Isac 20mg Capsule 10'S,Acne,Alpaz SR 1mg Tablet 10'S,Anxiety,6,52,29,0
172.217.6.206-10.42.0.151-443-56012-6,Isac 10mg Capsule 10'S,Acne,Alpkair 0.25mg Tablet 10'SAlpkair 0.5mg Tablet 10'S,Anxiety,7,23,29,0
10.42.0.211-103.235.46.211-40223-443-6,Isina 20mg Capsule 10'S,Acne,Alpose 0.25mg Tablet 10'SAlpose 0.5mg Tablet 10'SAlpose 1mg Tablet 10'S,Anxiety,8,2,746,1
10.42.0.151-31.13.71.7-39617-443-6,ISININ 20mg Capsule 10's,Acne,Alpra 0.25mg Tablet 10'S,Anxiety,10,33,629,1
10.42.0.211-10.42.0.1-4980-53-17,ISO Aret 20mg Softgel 10'S,Acne,Alpradol MD 0.5mg Tablet 10'SAlpradol MD 0.25mg Tablet 10'S,Anxiety,10,24,257,0
10.42.0.211-123.134.184.156-58877-80-6,ISO CLIN 10mg Capsule 10's,Acne,Alpraquil 0.5mg Tablet 10'SAlpraquil 1mg Tablet 10'SAlpraquil 0.25mg Tablet 10'S,Anxiety,6,19,29,0
203.205.179.172-10.42.0.211-80-40199-6,ISO T 20mg Capsule 10'S,Acne,Alprasafe 0.5mg Tablet 10'SAlprasafe 0.25mg Tablet 10'S,Anxiety,10,38,277,0
172.217.11.10-10.42.0.151-443-44340-6,Isoace 20mg Capsule 10'SIsoace 10mg Capsule 10'S,Acne,Alprawin 0.5mg Tablet 10'S,Anxiety,9,13,29,1
172.217.1.174-10.42.0.151-443-54575-6,Isobest 20mg Capsule 10'SIsobest 10mg Capsule 10'S,Acne,Alprax 0.25mg Tablet 15'SAlprax SR 1mg Tablet 10'SAlprax MT 0.125mg Tablet 15'SAlprax SR 1.5mg Tablet 10'SAlprax Plus Tablet 10'SAlprax MT 0.5mg Tablet 15'SAlprax 0.5mg Tablet 15'SAlprax Z 0.25mg Tablet 10'SAlprax Z 0.5mg Tablet 10'SAlprax MT 0.25mg Tablet 15'SAlprax 1mg Tablet 15'SAlprax Forte Tablet 10'S,Anxiety,10,3,869,1
10.42.0.151-10.42.0.1-52947-53-17,Isofeel 0.025 Cream 30gm,Acne,Alprax SR 0.5mg Tablet 10'S,Anxiety,8,51,29,1
10.42.0.211-10.42.0.1-49560-53-17,Isofeel 0.05 Cream 30gm,Acne,Alprazan 0.5mg Tablet 10'SAlprazan 1mg Tablet 10'S,Anxiety,10,3,28,1
202.77.129.150-10.42.0.42-80-59079-6,Isofeel 0.1 Gel 30gm,Acne,Alprazol 0.25mg Tablet 10'SAlprazol 0.5mg Tablet 10'S,Anxiety,2,0,29,1
202.77.129.185-10.42.0.211-80-34491-6,Isofeel 10 Capsule 10's,Acne,Alprazone 0.25mg Tablet 20'SAlprazone 0.5mg Tablet 20'S,Anxiety,1,4,944,0
203.205.158.44-10.42.0.151-80-39957-6,Isofeel 20 Capsule 10's,Acne,Alprine H Tablet 10'S,Anxiety,2,44,1368,1
239.255.255.250-10.42.0.42-1900-46751-17,Isofeel 30 Capsule 10's,Acne,Alprocontin 1mg Tablet 10'SAlprocontin 0.5mg Tablet 10'SAlprocontin 1.5mg Tablet 10'S,Anxiety,2,25,29,0
172.217.3.106-10.42.0.211-443-50817-6,Isofeel 40 Capsule 10's,Acne,Alproenar 0.5mg Tablet 10'SAlproenar 0.25mg Tablet 10'S,Anxiety,10,13,517,0
172.217.10.2-10.42.0.211-443-45174-6,Isoin 20mg Capsule 10'SIsoin 10mg Capsule 10'S,Acne,Alprop Tablet 10'S,Anxiety,10,55,29,0
10.42.0.211-50.19.245.144-53778-443-6,Isokon 10mg Capsule 10'S,Acne,Alprose 0.25mg Tablet 10'SAlprose 0.5mg Tablet 10'S,Anxiety,10,18,955,1
10.42.0.211-52.84.29.154-52844-443-6,Isopex 10mg Tablet 10'SIsopex 20mg Tablet 10'S,Acne,Alproz 0.5mg Tablet 10'SAlproz 0.25mg Tablet 10'S,Anxiety,10,97,37,0
10.42.0.42-119.146.74.34-52738-80-6,Isopil 10mg Tablet 10'SIsopil 20mg Tablet 10'SIsopil 5mg Tablet 10'S,Acne,Alrif 0.25mg Tablet 10'SAlrif S Tablet 10'SAlrif 0.5mg Tablet 10'S,Anxiety,6,23,29,1
183.3.235.80-10.42.0.42-80-46715-6,ISOTACNE 20mg Capsule 10's,Acne,Alsert Tablet 10'S,Anxiety,2,5,18,0
10.42.0.151-104.254.66.16-55229-80-6,Isotane 10mg Capsule 10'SIsotane 5Mg Capsule 10'sIsotane 20mg Capsule 10'S,Acne,Altin Tablet 10'S,Anxiety,10,30,31,1
10.42.0.211-64.71.142.124-37864-443-6,Isotret 20mg Capsule 10'S,Acne,Alzep 0.25mg Tablet 10'SAlzep 0.5mg Tablet 10'S,Anxiety,10,15,29,0
10.42.0.211-10.42.0.1-62489-53-17,Isotroin 30mg Capsule 10'SIsotroin 20mg Capsule 10'SIsotroin 10mg Capsule 10'SIsotroin 0.05% Gel 15gmIsotroin 5mg Capsule 10'S,Acne,Alzepam 10mg Tablet 10'SAlzepam 5mg Tablet 10'S,Anxiety,1,32,18,1
183.3.235.80-10.42.0.151-80-47475-6,Isozer 10mg Capsule 10'S,Acne,Alzex SR 0.5mg Tablet 10'SAlzex Plus Tablet 10'SAlzex 0.25mg Tablet 10'SAlzex Forte Tablet 10'S,Anxiety,9,39,1368,1
10.42.0.211-10.42.0.1-29634-53-17,Kligmel Cream 15gm,Acne,Alzo 0.25mg Tablet 10'S,Anxiety,9,11,324,0
172.217.10.74-10.42.0.151-443-46306-6,Klincin A Gel 15gm,Acne,Alzokam 1mg Tablet 10'SAlzokam 0.5mg Tablet 10'SAlzokam 0.25mg Tablet 10'S,Anxiety,1,5,29,1
174.36.210.51-10.42.0.211-5222-58655-6,Klinspec 1% Cream 15gm,Acne,Alzokam SR 1mg Tablet 10'SAlzokam SR 0.5mg Tablet 10'S,Anxiety,10,35,329,0
10.42.0.151-10.42.0.1-30447-53-17,Klynx Gel 10gm,Acne,Alzolam SR 1.5mg Tablet 10'SAlzolam 0.25mg Tablet 10'SAlzolam 0.75mg Tablet 10'SAlzolam 1mg Tablet 10'SAlzolam SR 0.5mg Tablet 10'SAlzolam Plus Tablet 10'SAlzolam 0.125mg Tablet 10'SAlzolam SR 1mg Tablet 10'SAlzolam Forte Tablet 10'SAlzolam 0.5mg Tablet 10'S,Anxiety,10,31,533,0
172.217.10.3-10.42.0.151-443-47624-6,Lacne 20mg Capsule 10'SLacne Soap 75gmLacne Gel 15gmLacne 10mg Capsule 10'S,Acne,Alzolite 0.25mg Tablet 10'SAlzolite 0.50mg Tablet 10'SAlzolite 1mg Tablet 10'S,Anxiety,9,11,29,1
216.58.219.226-10.42.0.211-443-56072-6,Lacne Foaming Face Wash Lotion 60ml,Acne,Alzomax 0.25mg Tablet 10'SAlzomax 0.5mg Tablet 10'S,Anxiety,1,21,534,1
10.42.0.151-10.42.0.1-2836-53-17,LEE Neem Face Wash 70gm,Acne,Alzonex 0.25mg Tablet 10'SAlzonex 0.5mg Tablet 10'SAlzonex Plus Tablet 10'S,Anxiety,10,6,31,0
10.42.0.151-10.42.0.1-12682-53-17,Litetone Cream 20gm,Acne,Alzopax XR 0.5mg Tablet 10'SAlzopax 0.5mg Tablet 10'SAlzopax XR 1.5mg Tablet 10'SAlzopax 0.25mg Tablet 10'SAlzopax 1mg Tablet 10'SAlzopax XR 1mg Tablet 10'S,Anxiety,10,16,29,1
172.217.3.99-10.42.0.151-443-58181-6,Luminosa M Cream 20gm,Acne,Alzot SR 1mg Tablet 10'SAlzot SR 0.5mg Tablet 10'SAlzot SR 1.5mg Tablet 10'S,Anxiety,1,1,13529,0
10.42.0.211-10.42.0.1-22276-53-17,MAVTRON 20mg Capsule 10's,Acne,Alzy 0.25mg Tablet 10'SAlzy 0.5mg Tablet 10'S,Anxiety,9,0,53,1
10.42.0.151-36.110.213.49-37939-80-6,Medapine AC Gel 15gmMedapine 1% Gel 15gm,Acne,Ambulax M Tablet 10'SAmbulax HD Tablet 10'SAmbulax Tablet 15'S,Anxiety,8,28,36,0
10.42.0.211-10.42.0.1-65350-53-17,Mederma Plus Intense Gel 10gm,Acne,Ambulax M Tablet 15's,Anxiety,9,4,29,1
182.22.24.124-10.42.0.151-443-43936-6,Medsop Soap 100gmMedsop Soap 75gmMedsop Acne Soap 75gm,Acne,Amichlor Tablet 10'SAmichlor DS Tablet 10'S,Anxiety,7,6,517,0
10.42.0.211-10.42.0.1-8238-53-17,Melacare HC Cream 15gm,Acne,Amicon Forte Tablet 10'SAmicon Plus Tablet 10'S,Anxiety,10,6,324,0
174.35.73.134-10.42.0.211-80-38274-6,Melagard Tube 1'S,Acne,Amitone Plus Tablet 10'SAmitone Forte Tablet 10'S,Anxiety,5,1,29,0
10.42.0.151-104.97.95.172-52067-80-6,Melalite Plus Cream 15gm,Acne,Amixide 10mg Tablet 10'S,Anxiety,10,3,29,0
10.42.0.211-106.39.169.66-47726-443-6,Melalong AD Cream 15gm,Acne,Anax 0.25mg Tablet 10'SAnax 0.5mg Tablet 10'S,Anxiety,10,24,2291,0
10.42.0.151-31.13.80.37-48419-443-6,MELANORM MS Cream 15gm,Acne,Anilam 0.5mg Tablet 10'SAnilam 0.25mg Tablet 10'S,Anxiety,7,26,29,1
10.42.0.151-10.42.0.1-12463-53-17,Melasol Cream 15gm,Acne,Anquil 0.25mg Tablet 10'S,Anxiety,9,8,29,1
203.205.158.53-10.42.0.151-80-54287-6,Melnor Cream 20gm,Acne,Anxibrium 25mg Tablet 10'SAnxibrium 10mg Tablet 10'S,Anxiety,8,61,532,0
174.129.32.117-10.42.0.211-443-60600-6,Metasone Plus Cream 15gm,Acne,Anxicalm 0.25mg Tablet 10'SAnxicalm 0.5mg Tablet 10'S,Anxiety,2,11,1182,0
192.229.173.173-10.42.0.151-80-46765-6,Microbenz 3.5% Aqueous Gel 15gm,Acne,Anxigon 0.25mg Tablet 10'SAnxigon 0.5mg Tablet 10'S,Anxiety,1,7,29,0
10.42.0.42-119.146.74.49-58768-443-6,Mimosee Gel 20gm,Acne,Anxinil 0.25mg Tablet 10'SAnxinil 0.5mg Tablet 10'S,Anxiety,9,1,37,1
172.217.11.42-10.42.0.211-443-38786-6,Minokem N 2% Lotion 60ml,Acne,Anxipam 0.5mg Tablet 10'S,Anxiety,10,10,23,1
172.217.3.100-10.42.0.151-443-46419-6,Minova 100mg Tablet 4'S,Acne,Anxipar 0.5mg Tablet 10'SAnxipar 0.25mg Tablet 10'S,Anxiety,9,8,32,1
10.42.0.211-23.23.129.231-33526-443-6,Minoz Bpo Gel 15gm,Acne,Anxiset Plus Tablet 10'S,Anxiety,10,1,36,1
157.56.52.23-10.42.0.42-40033-44878-6,Minoz S Face Wash 50ml,Acne,Anxit Plus Tablet 10'SAnxit SR 0.5mg Tablet 10'SAnxit 0.5mg Tablet 7'SAnxit 0.5mg Tablet 10'SAnxit 0.5mg Tablet 15'SAnxit 1.5mg Tablet 10'SAnxit 1mg Tablet 10'SAnxit Forte Tablet 10'SAnxit 0.25mg Tablet 10'SAnxit 0.25mg Tablet 15'SAnxit SR 1mg Tablet 10'SAnxit 0.125mg Tablet 10'S,Anxiety,1,24,29,1
172.217.11.8-10.42.0.211-443-38069-6,Miroir Cream 15gm,Acne,Anxizide 10mg Tablet 10'SAnxizide 20mg Tablet 10'S,Anxiety,8,3,342,0
10.42.0.211-103.7.30.118-38647-80-6,Momikem HT Cream 15gm,Acne,Anxol 5mg Tablet 10'SAnxol 2mg Tablet 10'SAnxol 10mg Tablet 10'SAnxol 5mg Injection 10ml,Anxiety,10,0,31,1
10.42.0.211-121.12.98.64-51589-80-6,MOMZOT HT Cream 15gm,Acne,Anxolep 1mg Tablet 10'SAnxolep 0.5mg Tablet 10'S,Anxiety,3,297,29,0
216.58.219.238-10.42.0.151-443-33327-6,Nayzit Gel 15gmNayzit 20mg Capsule 10'SNayzit 10mg Capsule 10'S,Acne,Anxorax 25mg Tablet 10'SAnxorax 10mg Tablet 10'S,Anxiety,2,5,44,0
172.217.10.14-10.42.0.211-443-49503-6,NEUTIN Capsule 10's,Acne,Anxorel 0.5mg Tablet 10'S,Anxiety,1,6,29,0
174.35.73.78-10.42.0.211-443-45259-6,Nexret 0.10% Gel 15gmNexret 0.04% Gel 15gm,Acne,Anxozap 15mg Tablet 10'SAnxozap 30mg Tablet 10'SAnxozap 10mg Tablet 10'S,Anxiety,10,8,29,1
151.101.1.140-10.42.0.211-443-44570-6,Nilac Gel 20gmNilac A Gel 20gm,Acne,Anxyl 0.25mg Tablet 10'SAnxyl 0.5mg Tablet 10'S,Anxiety,9,50,31,0
158.85.58.102-10.42.0.211-5222-42814-6,Nioclean Gel 20gm,Acne,Anzi P Tablet 10'SAnzi 0.25mg Tablet 10'SAnzi 0.5mg Tablet 10'SAnzi SR 0.5mg Tablet 10'S,Anxiety,10,6,31,1
10.42.0.211-47.89.67.240-49209-443-6,Nioclean AD Gel 15gm,Acne,Anzilum 0.5mg Tablet 15'SAnzilum 0.5mg Tablet 10'SAnzilum 0.25mg Tablet 10'SAnzilum 1mg Tablet 10'SAnzilum 0.25mg Tablet 15'SAnzilum SR 1mg Tablet 10'S,Anxiety,9,37,29,0
239.255.255.250-10.42.0.1-1900-54327-17,Nioret Nano Gel 15gm,Acne,Anzilum SR 0.5mg Tablet 10'S,Anxiety,6,4,1448,1
10.42.0.211-31.13.71.1-59911-443-6,NO Scars 1% Facewash 60ml,Acne,Aplaz 0.5mg Tablet 10'SAplaz 2mg Tablet 10'SAplaz D 0.5mg Tablet 10'SAplaz 1mg Tablet 10'SAplaz D 0.25mg Tablet 10'S,Anxiety,10,96,29,0
10.42.0.211-54.192.36.135-45066-80-6,NUPLENE C Gel 15gm,Acne,Apraz 15mg Tablet 10,Anxiety,1,6,29,1
10.42.0.151-10.42.0.1-21924-53-17,OBRIL Cream 20gm,Acne,Asiclopam Tablet 10'S,Anxiety,1,19,797,1
10.42.0.42-74.125.192.188-35395-5228-6,Ocotret 10mg Tablet 10'SOcotret 20mg Tablet 10'S,Acne,Atam 0.5mg Tablet 10'S,Anxiety,10,10,29,0
219.142.78.217-10.42.0.211-80-51652-6,Oraret 10mg Capsule 10'SOraret 20mg Capsule 10'S,Acne,Atarax 10mg Tablet 15'SAtarax Drops 15mlAtarax 25mg Tablet 15'SAtarax Injection 6X2mlAtarax Syrup 100ml,Anxiety,9,45,29,1
175.100.207.206-10.42.0.211-80-35506-6,Oxidoben Gel(Topical) 15gm,Acne,Atazis Syrup 100mlAtazis 10mg Tablet 10'S,Anxiety,5,5,33,0
10.42.0.211-10.42.0.1-13095-53-17,Oxtiv AP Gel(Topical) 15gm,Acne,Ateez 0.25mg Tablet 10'SAteez 0.5mg Tablet 10'S,Anxiety,1,75,475,0
10.42.0.211-64.71.142.95-52993-80-6,Paknet C Gel(Topical) 15gm,Acne,Aticool 2mg Tablet 10'S,Anxiety,1,12,438,1
205.185.216.10-10.42.0.211-80-50114-6,Papulex Cream 15gmPapulex Cleansing Gel 100ml,Acne,Ativan 1mg Tablet 30'SAtivan 2mg Tablet 25'S,Anxiety,1,22,29,1
172.217.12.174-10.42.0.151-443-50305-6,Percuna 2.5% Gel 20gmPercuna 5% Gel 20gm,Acne,Atrest 0.5mg Tablet 10'SAtrest 0.25mg Tablet 10'S,Anxiety,1,30,33,0
172.217.12.195-10.42.0.151-443-60430-6,Pernex AC 2.5% Gel 20gmPernex AC 5% Gel 50gmPernex AC 5% Gel 20gm,Acne,Averzine Syrup 100mlAverzine 25mg Drops 15mlAverzine 25mg Tablet 10'SAverzine 10mg Tablet 10'S,Anxiety,9,164,29,1
172.217.11.14-10.42.0.151-443-43576-6,Perobar 5% Bar 75gmPerobar 2.5% Bar 75gm,Acne,AZO F Tablet 10'SAZO S Tablet 10'S,Anxiety,10,66,187,0
202.77.129.150-10.42.0.151-80-39349-6,Peroclin 5% Gel 15gmPeroclin 2.5% Gel 15gm,Acne,Azox 0.5mg Tablet 10'SAzox 0.25mg Tablet 10'S,Anxiety,10,6,217,1
172.217.3.98-10.42.0.211-443-34449-6,Peroduo Gel 15gm,Acne,Azox P Tablet 10'S,Anxiety,1,22,29,0
157.240.18.36-10.42.0.211-443-50225-6,Perowas 2.5% Face Wash 50gm,Acne,Azox SR 0.5mg Tablet 10'SAzox SR 1mg Tablet 10'S,Anxiety,10,22,29,1
10.42.0.211-23.23.129.231-53919-443-6,Perowash 2.50% Facewash 50gm,Acne,Balmusa D 0.5mg Tablet 10'SBalmusa 0.25mg Tablet 10'SBalmusa Plus Tablet 10'S,Anxiety,9,22,318,0
10.42.0.211-23.206.162.129-39561-80-6,Persol Forte Cream 20gmPersol AC 5mg Gel 20gmPersol Forte Cream 30gmPersol 2.5% Soap 75gmPersol 2.5% Gel 20gm,Acne,Becalm 0.5mg Tablet 15'SBecalm 0.25mg Tablet 15'S,Anxiety,1,14,29,0
